code,catalog_name,catalog_depth,parent_catalog_code,full_catalog_name
5343,Kimonos,4,5388,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos
5684,Bridal Kimonos,5,5343,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Bridal Kimonos
5683,Casual Kimonos,5,5343,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Casual Kimonos
5682,Furisode Kimonos,5,5343,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Furisode Kimonos
5681,Iromuji Kimonos,5,5343,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Iromuji Kimonos
5680,Komon Kimonos,5,5343,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Komon Kimonos
5679,Tomesode & Houmongi Kimonos,5,5343,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Tomesode & Houmongi Kimonos
5483,Religious Ceremonial Clothing,4,5388,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Religious Ceremonial Clothing
8149,Baptism & Communion Dresses,5,5483,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Religious Ceremonial Clothing > Baptism & Communion Dresses
8248,Saris & Lehengas,4,5388,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas
7281,Traditional Leather Pants,4,5388,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Traditional Leather Pants
5676,Yukata,4,5388,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Yukata
213,Underwear & Socks,3,1604,Apparel & Accessories > Clothing > Underwear & Socks
7207,Bra Accessories,4,213,Apparel & Accessories > Clothing > Underwear & Socks > Bra Accessories
7208,Bra Strap Pads,5,7207,Apparel & Accessories > Clothing > Underwear & Socks > Bra Accessories > Bra Strap Pads
7211,Bra Straps & Extenders,5,7207,Apparel & Accessories > Clothing > Underwear & Socks > Bra Accessories > Bra Straps & Extenders
7210,Breast Enhancing Inserts,5,7207,Apparel & Accessories > Clothing > Underwear & Socks > Bra Accessories > Breast Enhancing Inserts
7209,Breast Petals & Concealers,5,7207,Apparel & Accessories > Clothing > Underwear & Socks > Bra Accessories > Breast Petals & Concealers
214,Bras,4,213,Apparel & Accessories > Clothing > Underwear & Socks > Bras
215,Hosiery,4,213,Apparel & Accessories > Clothing > Underwear & Socks > Hosiery
5327,Jock Straps,4,213,Apparel & Accessories > Clothing > Underwear & Socks > Jock Straps
1772,Lingerie,4,213,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie
2563,Lingerie Accessories,4,213,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie Accessories
2160,Garter Belts,5,2563,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie Accessories > Garter Belts
1675,Garters,5,2563,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie Accessories > Garters
1807,Long Johns,4,213,Apparel & Accessories > Clothing > Underwear & Socks > Long Johns
2963,Petticoats & Pettipants,4,213,Apparel & Accessories > Clothing > Underwear & Socks > Petticoats & Pettipants
1578,Shapewear,4,213,Apparel & Accessories > Clothing > Underwear & Socks > Shapewear
209,Socks,4,213,Apparel & Accessories > Clothing > Underwear & Socks > Socks
2745,Undershirts,4,213,Apparel & Accessories > Clothing > Underwear & Socks > Undershirts
2562,Underwear,4,213,Apparel & Accessories > Clothing > Underwear & Socks > Underwear
5834,Underwear Slips,4,213,Apparel & Accessories > Clothing > Underwear & Socks > Underwear Slips
2306,Uniforms,3,1604,Apparel & Accessories > Clothing > Uniforms
